"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"ADDPS (XMM, M128)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDPS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ADDSS (XMM, M32)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDSS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ANDNPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDNPS (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ANDPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDPS (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"CMPPS (XMM, M128, I8)","SSE","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPPS (XMM, XMM, I8)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"CMPSS (XMM, M32, I8)","SSE","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPSS (XMM, XMM, I8)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"COMISS (XMM, M32)","SSE","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"COMISS (XMM, XMM)","SSE","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTPI2PS (XMM, M64)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTPI2PS (XMM, MM)","SSE","[5;≤7]","1.00 / 1.04","2 / 2","1*p0+1*p01","[3;≤4]","0.50 / 0.50","2","1*FP0123+1*FP23"
"CVTPS2PI (MM, M64)","SSE","[≤10;≤13]","1.00 / 1.00","2 / 2","1*p0+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2PI (MM, XMM)","SSE","≤9","1.00 / 1.00","2 / 2","1*p0+1*p015","≤4","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, M32)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, M64)","SSE","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, R32)","SSE","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.42","2","1*FP23"
"CVTSI2SS (XMM, R64)","SSE","[1;≤8]","2.00 / 2.00","3 / 3","1*p01+2*p5","[3;≤8]","0.50 / 1.42","2","1*FP23"
"CVTSS2SI (R32, M32)","SSE","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSS2SI (R32, XMM)","SSE","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSS2SI (R64, M32)","SSE","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSS2SI (R64, XMM)","SSE","≤8","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p5","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTPS2PI (MM, M64)","SSE","[≤10;≤13]","1.00 / 1.00","2 / 2","1*p0+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTTPS2PI (MM, XMM)","SSE","≤9","1.00 / 1.00","2 / 2","1*p0+1*p015","≤4","0.50 / 0.50","1","1*FP23"
"CVTTSS2SI (R32, M32)","SSE","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSS2SI (R32, XMM)","SSE","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSS2SI (R64, M32)","SSE","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSS2SI (R64, XMM)","SSE","≤8","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p5","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"DIVPS (XMM, M128)","SSE","[≤11.0;≤18]","1.00 / 3.00","1 / 2","1*p0+1*p23A","[≤11;≤18]","0.50 / 3.00","1","1*FP01"
"DIVPS (XMM, XMM)","SSE","[≤11.0;≤12]","1.00 / 3.00","1 / 1","1*p0","≤11","1.00 / 3.00","1","2*FP01"
"DIVSS (XMM, M32)","SSE","[≤11.0;≤18]","1.00 / 3.00","1 / 2","1*p0+1*p23A","[≤11;≤18]","0.50 / 3.00","1","1*FP01"
"DIVSS (XMM, XMM)","SSE","[≤11.0;≤12]","1.00 / 3.00","1 / 1","1*p0","≤11","1.00 / 3.00","1","2*FP01"
"FXRSTOR (M4096)","SSE","","","","","","","",""
"FXRSTOR64 (M4096)","SSE","","","","","","","",""
"FXSAVE (M4096)","SSE","","19.00 / 72.50","90 / 110","2*p0+5*p0156B+10*p06+10*p1+2*p23A+38*p49+5*p5+38*p78","","18.50 / 84.00","118","14*FP01+6*FP12+37*FP45"
"FXSAVE64 (M4096)","SSE","","19.00 / 72.50","90 / 110","2*p0+5*p0156B+10*p06+10*p1+2*p23A+38*p49+5*p5+38*p78","","18.50 / 84.00","118","8*FP01+1*FP0123+6*FP1+37*FP45"
"LDMXCSR (M32)","SSE","","1.00 / 4.13","4 / 4","1*p0+1*p015+1*p06+1*p23A","","0.50 / 2.00","1","1*FP01"
"MAXPS (XMM, M128)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXPS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MAXSS (XMM, M32)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXSS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MINPS (XMM, M128)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINPS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MINSS (XMM, M32)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINSS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MOVAPS (M128, XMM)","SSE","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVAPS (XMM, M128)","SSE","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVAPS_0F28 (XMM, XMM)","SSE","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVAPS_0F29 (XMM, XMM)","SSE","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVHLPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.37","1","1*FP123"
"MOVHPS (M64, XMM)","SSE","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤9;≤11]","0.50 / 1.00","2","1*FP123+1*FP45"
"MOVHPS (XMM, M64)","SSE","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"MOVLHPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.37","1","1*FP123"
"MOVLPS (M64, XMM)","SSE","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVLPS (XMM, M64)","SSE","[1;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"MOVMSKPS (R32, XMM)","SSE","≤3","1.00 / 1.00","1 / 1","1*p0","≤6","0.50 / 1.00","1","1*FP45"
"MOVNTPS (M128, XMM)","SSE","[≤515;≤526]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤997;≤1005]","0.50 / 1.00","1","1*FP45"
"MOVSS (M32, XMM)","SSE","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVSS (XMM, M32)","SSE","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVSS_0F10 (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVSS_0F11 (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVUPS (M128, XMM)","SSE","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVUPS (XMM, M128)","SSE","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVUPS_0F10 (XMM, XMM)","SSE","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVUPS_0F11 (XMM, XMM)","SSE","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MULPS (XMM, M128)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"MULPS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"MULSS (XMM, M32)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"MULSS (XMM, XMM)","SSE","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"ORPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ORPS (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PREFETCHNTA (M512)","SSE","","0.33 / 0.33","1 / 1","1*p23A","","0.33","1",""
"PREFETCHT0 (M512)","SSE","","0.33 / 0.33","1 / 1","1*p23A","","0.33","1",""
"PREFETCHT1 (M512)","SSE","","0.33 / 0.33","1 / 1","1*p23A","","0.64","1",""
"PREFETCHT2 (M512)","SSE","","0.33 / 0.33","1 / 1","1*p23A","","0.64","1",""
"RCPPS (XMM, M128)","SSE","[≤8;≤11]","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤12","0.50 / 0.50","1","1*FP01"
"RCPPS (XMM, XMM)","SSE","4","1.00 / 1.00","1 / 1","1*p0","4","0.50 / 0.50","1","1*FP01"
"RCPSS (XMM, M32)","SSE","[4;≤11]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[4;≤12]","0.50 / 0.50","1","1*FP01"
"RCPSS (XMM, XMM)","SSE","4","1.00 / 1.00","1 / 1","1*p0","4","0.50 / 0.50","1","1*FP01"
"RSQRTPS (XMM, M128)","SSE","≤11","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤12","0.50 / 0.50","1","1*FP01"
"RSQRTPS (XMM, XMM)","SSE","[≤4.0;≤5]","1.00 / 1.00","1 / 1","1*p0","≤4","0.50 / 0.50","1","1*FP01"
"RSQRTSS (XMM, M32)","SSE","[≤4.0;≤11]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[≤4;≤12]","0.50 / 0.50","1","1*FP01"
"RSQRTSS (XMM, XMM)","SSE","[≤4.0;≤5]","1.00 / 1.00","1 / 1","1*p0","≤4","0.50 / 0.50","1","1*FP01"
"SFENCE","SSE","","0.50 / 5.94","2 / 2","1*p49+1*p78","","1.00","1",""
"SHUFPS (XMM, M128, I8)","SSE","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[1;≤9]","0.33 / 0.50","1","1*FP123"
"SHUFPS (XMM, XMM, I8)","SSE","1","0.50 / 0.50","1 / 1","1*p15","1","0.33 / 0.36","1","1*FP123"
"SQRTPS (XMM, M128)","SSE","≤19","1.00 / 3.00","1 / 2","1*p0+1*p23A","≤23","0.50 / 5.00","1","1*FP01"
"SQRTPS (XMM, XMM)","SSE","[≤12.0;≤13]","1.00 / 3.00","1 / 1","1*p0","≤15","0.50 / 5.00","1","1*FP01"
"SQRTSS (XMM, M32)","SSE","[≤12.0;≤19]","1.00 / 3.00","1 / 2","1*p0+1*p23A","[≤15;≤23]","0.50 / 5.00","1","1*FP01"
"SQRTSS (XMM, XMM)","SSE","[≤12.0;≤13]","1.00 / 3.00","1 / 1","1*p0","≤15","0.50 / 5.00","1","1*FP01"
"STMXCSR (M32)","SSE","[≤0;≤12]","1.00 / 1.00","3 / 4","1*p0+1*p06+1*p49+1*p78","≤20","0.50 / 15.09","2","1*FP01+1*FP45"
"SUBPS (XMM, M128)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"SUBPS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"SUBSS (XMM, M32)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"SUBSS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"UCOMISS (XMM, M32)","SSE","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"UCOMISS (XMM, XMM)","SSE","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"UNPCKHPS (XMM, M128)","SSE","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"UNPCKHPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.40","1","1*FP123"
"UNPCKLPS (XMM, M128)","SSE","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"UNPCKLPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.40","1","1*FP123"
"XORPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"XORPS (XMM, XMM)","SSE","[0;1]","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ADDPD (XMM, M128)","SSE2","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDPD (XMM, XMM)","SSE2","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ADDSD (XMM, M64)","SSE2","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDSD (XMM, XMM)","SSE2","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ANDNPD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDNPD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ANDPD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDPD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"CMPPD (XMM, M128, I8)","SSE2","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPPD (XMM, XMM, I8)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"CMPSD_XMM (XMM, M64, I8)","SSE2","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPSD_XMM (XMM, XMM, I8)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"COMISD (XMM, M64)","SSE2","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"COMISD (XMM, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTDQ2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTDQ2PD (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTDQ2PS (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTDQ2PS (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTPD2DQ (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","3 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTPD2DQ (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTPD2PI (MM, M128)","SSE2","[≤12;≤24]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[≤11;≤24]","0.50 / 0.50","1","1*FP23"
"CVTPD2PI (MM, XMM)","SSE2","≤8","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","1","1*FP23"
"CVTPD2PS (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTPD2PS (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTPI2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPI2PD (XMM, MM)","SSE2","≤6","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","2","1*FP0123+1*FP23"
"CVTPS2DQ (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2DQ (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTPS2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2PD (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTSD2SI (R32, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R32, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R64, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R64, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SS (XMM, M64)","SSE2","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSD2SS (XMM, XMM)","SSE2","[1;5]","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, M32)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, R32)","SSE2","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.45","2","1*FP23"
"CVTSI2SD (XMM, R64)","SSE2","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.45","2","1*FP23"
"CVTSS2SD (XMM, M32)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSS2SD (XMM, XMM)","SSE2","[4;5]","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
