"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"CVTTPD2DQ (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","3 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTTPD2DQ (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTTPD2PI (MM, M128)","SSE2","[≤12;≤24]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[≤11;≤24]","0.50 / 0.50","1","1*FP23"
"CVTTPD2PI (MM, XMM)","SSE2","≤8","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","1","1*FP23"
"CVTTPS2DQ (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTTPS2DQ (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTTSD2SI (R32, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R32, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R64, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R64, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"DIVPD (XMM, M128)","SSE2","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A","[≤13;≤21]","0.50 / 5.00","1","1*FP01"
"DIVPD (XMM, XMM)","SSE2","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0","≤13","0.50 / 5.00","1","1*FP01"
"DIVSD (XMM, M64)","SSE2","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A","[≤13;≤21]","0.50 / 5.00","1","1*FP01"
"DIVSD (XMM, XMM)","SSE2","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0","≤13","0.50 / 5.00","1","1*FP01"
"LFENCE","SSE2","","0.50 / 12.00","4 / 1","1*p06","","10.00","1",""
"MASKMOVDQU (XMM, XMM)","SSE2","≤10","1.00 / 6.00","10 / 10","1*p0+1*p06+1*p15+2*p23A+2*p49+1*p5+2*p78","≤20","4.00 / 18.00","75","4*FP1+2*FP123+2*FP23+4*FP45"
"MAXPD (XMM, M128)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXPD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MAXSD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MAXSD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MFENCE","SSE2","","0.50 / 38.00","3 / 2","1*p49+1*p78","","58.13","6",""
"MINPD (XMM, M128)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINPD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MINSD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"MINSD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"MOVAPD (M128, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVAPD (XMM, M128)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVAPD_0F28 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVAPD_0F29 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVD (M32, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVD (R32, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤6","0.50 / 1.00","1","1*FP45"
"MOVD (XMM, M32)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVD (XMM, R32)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p5","≤6","0.25 / 1.15","2","1*FP0123"
"MOVDQ2Q (MM, XMM)","SSE2","≤3","0.67 / 0.67","2 / 2","1*p015+1*p05","≤2","0.25 / 0.25","1","1*FP0123"
"MOVDQA (M128, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVDQA (XMM, M128)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVDQA_0F6F (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVDQA_0F7F (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVDQU (M128, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVDQU (XMM, M128)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVDQU_0F6F (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVDQU_0F7F (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVHPD (M64, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤9;≤11]","0.50 / 1.00","2","1*FP23+1*FP45"
"MOVHPD (XMM, M64)","SSE2","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"MOVLPD (M64, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVLPD (XMM, M64)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"MOVMSKPD (R32, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤6","0.50 / 1.00","1","1*FP45"
"MOVNTDQ (M128, XMM)","SSE2","[≤517;≤528]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤998;≤1004]","0.50 / 1.00","1","1*FP45"
"MOVNTI (M32, R32)","SSE2","[≤518;≤527]","0.50 / 0.50","2 / 2","1*p49+1*p78","[≤991;≤1005]","0.50","1",""
"MOVNTI (M64, R64)","SSE2","[≤523;≤527]","0.50 / 0.50","2 / 2","1*p49+1*p78","[≤990;≤1006]","0.50","1",""
"MOVNTPD (M128, XMM)","SSE2","[≤520;≤522]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤998;≤1006]","0.50 / 1.00","1","1*FP45"
"MOVQ (M64, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVQ (R64, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤6","0.50 / 1.00","1","1*FP45"
"MOVQ (XMM, M64)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVQ (XMM, R64)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p5","≤6","0.25 / 1.15","2","1*FP0123"
"MOVQ2DQ (XMM, MM)","SSE2","≤3","1.00 / 1.00","2 / 2","1*p0+1*p015","≤2","0.50 / 0.50","2","1*FP0123+1*FP123"
"MOVQ_0F7E (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVQ_0FD6 (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVSD_XMM (M64, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVSD_XMM (XMM, M64)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVSD_XMM_0F10 (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVSD_XMM_0F11 (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"MOVUPD (M128, XMM)","SSE2","[≤4;≤12]","0.50 / 0.50","1 / 2","1*p49+1*p78","[≤8;≤11]","0.50 / 1.00","1","1*FP45"
"MOVUPD (XMM, M128)","SSE2","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A","≤8","0.50","1",""
"MOVUPD_0F10 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MOVUPD_0F11 (XMM, XMM)","SSE2","[0;1]","0.17","1 / 0","","0","0.17","1",""
"MULPD (XMM, M128)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"MULPD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"MULSD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"MULSD (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"ORPD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ORPD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PACKSSDW (XMM, M128)","SSE2","[3;≤10]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PACKSSDW (XMM, XMM)","SSE2","3","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PACKSSWB (XMM, M128)","SSE2","[3;≤10]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PACKSSWB (XMM, XMM)","SSE2","3","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PACKUSWB (XMM, M128)","SSE2","[3;≤10]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PACKUSWB (XMM, XMM)","SSE2","3","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PADDB (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PADDB (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PADDD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PADDD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PADDQ (MM, M64)","SSE2","[1;≤9]","0.50 / 0.50","1 / 2","1*p05+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PADDQ (MM, MM)","SSE2","1","0.50 / 0.50","1 / 1","1*p05","1","0.25 / 0.25","1","1*FP0123"
"PADDQ (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PADDQ (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PADDSB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PADDSB (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PADDSW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PADDSW (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PADDUSB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PADDUSB (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PADDUSW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PADDUSW (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PADDW (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PADDW (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PAND (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PAND (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PANDN (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PANDN (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"PAVGB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.25 / 0.50","1","1*FP0123"
"PAVGB (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.25 / 0.25","1","1*FP0123"
"PAVGW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.25 / 0.50","1","1*FP0123"
"PAVGW (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","2","0.25 / 0.25","1","1*FP0123"
"PCMPEQB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPEQB (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PCMPEQD (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPEQD (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PCMPEQW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPEQW (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PCMPGTB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPGTB (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PCMPGTD (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPGTD (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PCMPGTW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PCMPGTW (XMM, XMM)","SSE2","[0;1]","0.50 / 0.50","1 / 1","1*p01","[0;1]","0.25 / 0.25","1","1*FP0123"
"PEXTRW (R32, XMM, I8)","SSE2","≤4","1.00 / 1.00","2 / 2","1*p0+1*p15","≤7","0.50 / 1.00","2","1*FP123+1*FP45"
"PINSRW (XMM, M16, I8)","SSE2","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[1;≤9]","0.33 / 0.50","1","1*FP123"
"PINSRW (XMM, R32, I8)","SSE2","[1;≤4]","1.00 / 1.05","2 / 2","1*p15+1*p5","[1;≤6]","1.00 / 1.00","2","1*FP1"
"PMADDWD (XMM, M128)","SSE2","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMADDWD (XMM, XMM)","SSE2","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMAXSW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXSW (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMAXUB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXUB (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINSW (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINSW (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINUB (XMM, M128)","SSE2","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINUB (XMM, XMM)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMOVMSKB (R32, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤6","0.50 / 1.00","1","1*FP45"
"PMULHUW (XMM, M128)","SSE2","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHUW (XMM, XMM)","SSE2","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULHW (XMM, M128)","SSE2","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHW (XMM, XMM)","SSE2","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULLW (XMM, M128)","SSE2","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULLW (XMM, XMM)","SSE2","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULUDQ (MM, M64)","SSE2","[5;≤13]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULUDQ (MM, MM)","SSE2","5","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP01"
"PMULUDQ (XMM, M128)","SSE2","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULUDQ (XMM, XMM)","SSE2","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"POR (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"POR (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"PSADBW (XMM, M128)","SSE2","[3;≤10]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PSADBW (XMM, XMM)","SSE2","3","1.00 / 1.00","1 / 1","1*p5","3","0.50 / 0.50","1","1*FP01"
"PSHUFD (XMM, M128, I8)","SSE2","[≤5;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","≤9","0.33 / 0.50","1","1*FP123"
"PSHUFD (XMM, XMM, I8)","SSE2","1","0.50 / 0.50","1 / 1","1*p15","1","0.33 / 0.33","1","1*FP123"
"PSHUFHW (XMM, M128, I8)","SSE2","[≤5;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","≤9","0.33 / 0.50","1","1*FP123"
"PSHUFHW (XMM, XMM, I8)","SSE2","1","0.50 / 0.50","1 / 1","1*p15","1","0.33 / 0.33","1","1*FP123"
"PSHUFLW (XMM, M128, I8)","SSE2","[≤5;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","≤9","0.33 / 0.50","1","1*FP123"
"PSHUFLW (XMM, XMM, I8)","SSE2","1","0.50 / 0.50","1 / 1","1*p15","1","0.33 / 0.33","1","1*FP123"
"PSLLD (XMM, I8)","SSE2","1","0.50 / 0.50","1 / 1","1*p01","1","0.50 / 0.50","1","1*FP23"
