"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"PCMPESTRM64 (XMM, XMM, I8)","SSE4","[11;16]","3.00 / 5.00","9 / 9","3*p0+3*p015+1*p06+1*p1+1*p5","[7;≤16]","1.50 / 3.00","7","2*FP01+1*FP0123+1*FP1+1*FP45"
"PCMPGTQ (XMM, M128)","SSE4","[3;≤10]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PCMPGTQ (XMM, XMM)","SSE4","[0;3]","1.00 / 1.00","1 / 1","1*p5","[0;2]","0.50 / 0.50","1","1*FP01"
"PCMPISTRI (XMM, M128, I8)","SSE4","[≤11;≤31]","3.00 / 3.00","4 / 4","3*p0+1*p23A","[≤11;≤29]","1.00 / 3.00","4","1*FP1+2*FP45"
"PCMPISTRI (XMM, XMM, I8)","SSE4","≤11","3.00 / 3.00","3 / 3","3*p0","≤11","1.00 / 2.00","4","1*FP01+2*FP45"
"PCMPISTRM (XMM, M128, I8)","SSE4","[8;16]","3.00 / 3.00","4 / 4","3*p0+1*p23A","[7;≤15]","2.00 / 3.00","4","2*FP1+1*FP45"
"PCMPISTRM (XMM, XMM, I8)","SSE4","[8;≤11]","3.00 / 3.00","3 / 3","3*p0","[7;≤11]","0.67 / 2.00","3","1*FP01+1*FP12+1*FP45"
"PEXTRB (M8, XMM, I8)","SSE4","[≤13;≤19]","0.50 / 0.50","2 / 3","1*p15+1*p49+1*p78","[≤11;≤22]","0.50 / 1.00","2","1*FP12+1*FP45"
"PEXTRB (R32, XMM, I8)","SSE4","≤4","1.00 / 1.00","2 / 2","1*p0+1*p15","≤8","0.50 / 1.00","2","1*FP12+1*FP45"
"PEXTRD (M32, XMM, I8)","SSE4","[≤5;≤12]","0.50 / 0.50","2 / 3","1*p15+1*p49+1*p78","[≤9;≤11]","0.50 / 1.00","2","1*FP123+1*FP45"
"PEXTRD (R32, XMM, I8)","SSE4","≤4","1.00 / 1.00","2 / 2","1*p0+1*p15","≤7","0.50 / 1.00","2","1*FP123+1*FP45"
"PEXTRQ (M64, XMM, I8)","SSE4","[≤5;≤12]","0.50 / 0.50","2 / 3","1*p15+1*p49+1*p78","[≤9;≤11]","0.50 / 1.00","2","1*FP123+1*FP45"
"PEXTRQ (R64, XMM, I8)","SSE4","≤4","1.00 / 1.00","2 / 2","1*p0+1*p15","≤7","0.50 / 1.00","2","1*FP123+1*FP45"
"PEXTRW_SSE4 (M16, XMM, I8)","SSE4","[≤12;≤19]","0.50 / 0.50","2 / 3","1*p15+1*p49+1*p78","[≤11;≤21]","0.50 / 1.00","2","1*FP123+1*FP45"
"PHMINPOSUW (XMM, M128)","SSE4","[≤8;≤11]","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤11","0.50 / 0.50","1","1*FP12"
"PHMINPOSUW (XMM, XMM)","SSE4","4","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP12"
"PINSRB (XMM, M8, I8)","SSE4","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PINSRB (XMM, R32, I8)","SSE4","[1;≤4]","1.00 / 1.05","2 / 2","1*p15+1*p5","[2;≤7]","0.50 / 1.00","2","1*FP12"
"PINSRD (XMM, M32, I8)","SSE4","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[1;≤9]","0.33 / 0.50","1","1*FP123"
"PINSRD (XMM, R32, I8)","SSE4","[1;≤4]","1.00 / 1.05","2 / 2","1*p15+1*p5","[1;≤6]","1.00 / 1.00","2","1*FP1"
"PINSRQ (XMM, M64, I8)","SSE4","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[1;≤9]","0.33 / 0.50","1","1*FP123"
"PINSRQ (XMM, R64, I8)","SSE4","[1;≤4]","1.00 / 1.05","2 / 2","1*p15+1*p5","[1;≤6]","1.00 / 1.00","2","1*FP1"
"PMAXSB (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXSB (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMAXSD (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXSD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMAXUD (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXUD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMAXUW (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMAXUW (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINSB (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINSB (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINSD (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINSD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINUD (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINUD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMINUW (XMM, M128)","SSE4","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"PMINUW (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p01","1","0.25 / 0.25","1","1*FP0123"
"PMOVSXBD (XMM, M32)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXBD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVSXBQ (XMM, M16)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXBQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVSXBW (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXBW (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVSXDQ (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXDQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVSXWD (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXWD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVSXWQ (XMM, M32)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVSXWQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXBD (XMM, M32)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXBD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXBQ (XMM, M16)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXBQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXBW (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXBW (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXDQ (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXDQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXWD (XMM, M64)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXWD (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMOVZXWQ (XMM, M32)","SSE4","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p15+1*p23A","≤10","0.50 / 0.50","1","1*FP12"
"PMOVZXWQ (XMM, XMM)","SSE4","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PMULDQ (XMM, M128)","SSE4","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULDQ (XMM, XMM)","SSE4","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULLD (XMM, M128)","SSE4","[10;≤18]","1.00 / 1.05","3 / 3","2*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULLD (XMM, XMM)","SSE4","10","1.00 / 1.08","2 / 2","2*p01","3","0.50 / 0.50","1","1*FP01"
"POPCNT (R16, M16)","SSE4","[3;8]","1.00 / 1.00","1 / 2","1*p1+1*p23A","[1;≤6]","0.33","1",""
"POPCNT (R16, R16)","SSE4","3","1.00 / 1.00","1 / 1","1*p1","1","0.25","1",""
"POPCNT (R32, M32)","SSE4","[0;8]","1.00 / 1.00","1 / 2","1*p1+1*p23A","[0;≤7]","0.33","1",""
"POPCNT (R32, R32)","SSE4","[0;3]","1.00 / 1.00","1 / 1","1*p1","[0;1]","0.25","1",""
"POPCNT (R64, M64)","SSE4","[0;8]","1.00 / 1.00","1 / 2","1*p1+1*p23A","[0;≤7]","0.33","1",""
"POPCNT (R64, R64)","SSE4","[0;3]","1.00 / 1.00","1 / 1","1*p1","[0;1]","0.25","1",""
"PTEST (XMM, M128)","SSE4","[≤4;9]","1.00 / 1.00","2 / 3","1*p0+1*p23A+1*p5","[≤8;11]","0.50 / 1.00","2","1*FP12+1*FP45"
"PTEST (XMM, XMM)","SSE4","≤4","1.00 / 1.00","2 / 2","1*p0+1*p5","≤8","0.50 / 1.00","2","1*FP12+1*FP45"
"ROUNDPD (XMM, M128, I8)","SSE4","[≤12;≤15]","1.00 / 1.00","3 / 3","2*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"ROUNDPD (XMM, XMM, I8)","SSE4","8","1.00 / 1.00","2 / 2","2*p01","3","0.50 / 0.50","1","1*FP23"
"ROUNDPS (XMM, M128, I8)","SSE4","[≤12;≤15]","1.00 / 1.00","3 / 3","2*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"ROUNDPS (XMM, XMM, I8)","SSE4","8","1.00 / 1.00","2 / 2","2*p01","3","0.50 / 0.50","1","1*FP23"
"ROUNDSD (XMM, M64, I8)","SSE4","[8;≤15]","1.00 / 1.00","3 / 3","2*p01+1*p23A","[0;≤11]","0.50 / 0.50","1","1*FP23"
"ROUNDSD (XMM, XMM, I8)","SSE4","8","1.00 / 1.03","2 / 2","2*p01","[0;3]","0.50 / 0.50","1","1*FP23"
"ROUNDSS (XMM, M32, I8)","SSE4","[8;≤15]","1.00 / 1.00","3 / 3","2*p01+1*p23A","[0;≤11]","0.50 / 0.50","1","1*FP23"
"ROUNDSS (XMM, XMM, I8)","SSE4","8","1.00 / 1.03","2 / 2","2*p01","[0;3]","0.50 / 0.50","1","1*FP23"
"PABSB (MM, M64)","SSSE3","[≤6;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSB (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PABSB (XMM, M128)","SSSE3","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSB (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PABSD (MM, M64)","SSSE3","[≤6;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSD (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PABSD (XMM, M128)","SSSE3","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSD (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PABSW (MM, M64)","SSSE3","[≤6;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSW (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PABSW (XMM, M128)","SSSE3","[≤5;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤10","0.50 / 0.50","1","1*FP01"
"PABSW (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PALIGNR (MM, M64, I8)","SSSE3","[1;≤9]","1.00 / 1.00","2 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PALIGNR (MM, MM, I8)","SSSE3","1","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PALIGNR (XMM, M128, I8)","SSSE3","[1;≤8]","1.00 / 1.00","2 / 2","1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PALIGNR (XMM, XMM, I8)","SSSE3","1","1.00 / 1.00","1 / 1","1*p5","2","0.50 / 0.50","1","1*FP12"
"PHADDD (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDD (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHADDD (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDD (XMM, XMM)","SSSE3","2","1.00 / 1.04","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDSW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p0+1*p23A+2*p5","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDSW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p0+2*p5","3","0.75 / 2.00","3","1*FP01+1*FP123+1*FP23"
"PHADDSW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.06","4 / 4","1*p01+2*p15+1*p23A","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDSW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p01+2*p15","3","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHADDW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHADDW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHADDW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHSUBD (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBD (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBSW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p0+1*p23A+2*p5","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBSW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p0+2*p5","3","0.75 / 2.00","3","1*FP01+1*FP123+1*FP23"
"PHSUBSW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.06","4 / 4","1*p01+2*p15+1*p23A","[3;≤11]","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBSW (XMM, XMM)","SSSE3","2","1.00 / 1.05","3 / 3","1*p01+2*p15","3","0.75 / 2.00","4","1*FP01+1*FP123+1*FP23"
"PHSUBW (MM, M64)","SSSE3","[3;≤11]","2.00 / 2.00","4 / 4","1*p05+1*p23A+2*p5","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBW (MM, MM)","SSSE3","3","2.00 / 2.00","3 / 3","1*p05+2*p5","2","0.75 / 2.00","3","1*FP0123+1*FP123+1*FP23"
"PHSUBW (XMM, M128)","SSSE3","[2;≤9]","1.00 / 1.07","4 / 4","1*p015+2*p15+1*p23A","[2;≤10]","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PHSUBW (XMM, XMM)","SSSE3","2","1.00 / 1.04","3 / 3","1*p015+2*p15","2","0.75 / 2.00","4","1*FP0123+1*FP123+1*FP23"
"PMADDUBSW (MM, M64)","SSSE3","[5;≤13]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (MM, MM)","SSSE3","5","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (XMM, M128)","SSSE3","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMADDUBSW (XMM, XMM)","SSSE3","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PMULHRSW (MM, M64)","SSSE3","[5;≤13]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHRSW (MM, MM)","SSSE3","5","1.00 / 1.00","1 / 1","1*p0","3","0.50 / 0.50","1","1*FP01"
"PMULHRSW (XMM, M128)","SSSE3","[5;≤13]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP01"
"PMULHRSW (XMM, XMM)","SSSE3","5","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP01"
"PSHUFB (MM, M64)","SSSE3","[1;≤11]","1.00 / 1.00","3 / 3","1*p0+1*p23A+1*p5","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PSHUFB (MM, MM)","SSSE3","[1;3]","1.00 / 1.00","3 / 2","1*p0+1*p5","2","0.50 / 0.50","1","1*FP12"
"PSHUFB (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","2 / 2","1*p15+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP12"
"PSHUFB (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p15","2","0.50 / 0.50","1","1*FP12"
"PSIGNB (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNB (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGNB (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNB (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PSIGND (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGND (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGND (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGND (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"
"PSIGNW (MM, M64)","SSSE3","[1;≤9]","1.00 / 1.00","1 / 2","1*p0+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNW (MM, MM)","SSSE3","1","1.00 / 1.00","1 / 1","1*p0","2","0.50 / 0.50","1","1*FP01"
"PSIGNW (XMM, M128)","SSSE3","[1;≤8]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP01"
"PSIGNW (XMM, XMM)","SSSE3","1","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP01"